"scenario","run_id","nobs","npredictors","run_number","Model","s0","s1","lambda","gamma","converged","iterations","TP","FP","TN","FN","TP_indep","FP_indep","TN_indep","FN_indep","TP_strong","FP_strong","TN_strong","FN_strong","TP_weak","FP_weak","TN_weak","FN_weak"
"scenarioB","p25_scenarioB_run24",200,25,24,"SSL",0.0104244276442234,0.2,NA,NA,TRUE,5,5,1,19,0,1,1,11,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run24",200,25,24,"LASSO",NA,NA,0.0623967825270836,NA,TRUE,NA,4,2,18,1,1,2,10,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run25",200,25,25,"SSL",0.00890843141678206,0.2,NA,NA,TRUE,5,5,0,20,0,1,0,12,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run25",200,25,25,"LASSO",NA,NA,0.0447935036552216,NA,TRUE,NA,5,1,19,0,1,0,12,0,2,0,4,0,2,1,3,0
"scenarioB","p25_scenarioB_run26",200,25,26,"SSL",0.0152640909867941,0.2,NA,NA,TRUE,5,4,1,19,1,1,1,11,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run26",200,25,26,"LASSO",NA,NA,0.0834801335768871,NA,TRUE,NA,4,1,19,1,1,1,11,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run27",200,25,27,"SSL",0.000426286230746624,1.4,NA,NA,TRUE,5,5,7,13,0,1,5,7,0,2,1,3,0,2,1,3,0
"scenarioB","p25_scenarioB_run27",200,25,27,"LASSO",NA,NA,0.0678967145723454,NA,TRUE,NA,4,2,18,1,1,1,11,0,1,1,3,1,2,0,4,0
"scenarioB","p25_scenarioB_run28",200,25,28,"SSL",0.00442554279613734,0.2,NA,NA,TRUE,5,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run28",200,25,28,"LASSO",NA,NA,0.0701621362568849,NA,TRUE,NA,4,0,20,1,1,0,12,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run29",200,25,29,"SSL",0.00642517107883269,0.2,NA,NA,TRUE,5,5,2,18,0,1,1,11,0,2,1,3,0,2,0,4,0
"scenarioB","p25_scenarioB_run29",200,25,29,"LASSO",NA,NA,0.052739116502617,NA,TRUE,NA,5,1,19,0,1,1,11,0,2,0,4,0,2,0,4,0
